ImageView_0,ImageView_90,ImageView_180,ImageView_270,ImageView_Aufsicht,ImageView_Untersicht,BB,BK,BWH1,BWH2,BANR1,BANR2,NRVNR1,NRVNR2,NRVNR3,NRVNR4,MotorSize
Middle_Motors\view_0\images\mittel_NRV1_8_num_1.jpg,Middle_Motors\view_90\images\mittel_NRV1_8_num_2.jpg,Middle_Motors\view_180\images\mittel_NRV1_8_num_3.jpg,Middle_Motors\view_270\images\mittel_NRV1_8_num_4.jpg,Middle_Motors\view_top\images\mittel_NRV1_8_num_5.jpg,Middle_Motors\view_bottom\images\mittel_NRV1_8_num_6.jpg,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,Middle
Middle_Motors\view_0\images\mittel_NRV1_9_num_1.jpg,Middle_Motors\view_90\images\mittel_NRV1_9_num_2.jpg,Middle_Motors\view_180\images\mittel_NRV1_9_num_3.jpg,Middle_Motors\view_270\images\mittel_NRV1_9_num_4.jpg,Middle_Motors\view_top\images\mittel_NRV1_9_num_5.jpg,Middle_Motors\view_bottom\images\mittel_NRV1_9_num_6.jpg,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,Middle
Middle_Motors\view_0\images\mittel_NRV1_10_num_1.jpg,Middle_Motors\view_90\images\mittel_NRV1_10_num_2.jpg,Middle_Motors\view_180\images\mittel_NRV1_10_num_3.jpg,Middle_Motors\view_270\images\mittel_NRV1_10_num_4.jpg,Middle_Motors\view_top\images\mittel_NRV1_10_num_5.jpg,Middle_Motors\view_bottom\images\mittel_NRV1_10_num_6.jpg,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,Middle
Middle_Motors\view_0\images\mittel_NRV1_11_num_1.jpg,Middle_Motors\view_90\images\mittel_NRV1_11_num_2.jpg,Middle_Motors\view_180\images\mittel_NRV1_11_num_3.jpg,Middle_Motors\view_270\images\mittel_NRV1_11_num_4.jpg,Middle_Motors\view_top\images\mittel_NRV1_11_num_5.jpg,Middle_Motors\view_bottom\images\mittel_NRV1_11_num_6.jpg,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,Middle
Middle_Motors\view_0\images\mittel_NRV1_12_num_1.jpg,Middle_Motors\view_90\images\mittel_NRV1_12_num_2.jpg,Middle_Motors\view_180\images\mittel_NRV1_12_num_3.jpg,Middle_Motors\view_270\images\mittel_NRV1_12_num_4.jpg,Middle_Motors\view_top\images\mittel_NRV1_12_num_5.jpg,Middle_Motors\view_bottom\images\mittel_NRV1_12_num_6.jpg,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,Middle
Middle_Motors\view_0\images\mittel_NRV1_13_num_1.jpg,Middle_Motors\view_90\images\mittel_NRV1_13_num_2.jpg,Middle_Motors\view_180\images\mittel_NRV1_13_num_3.jpg,Middle_Motors\view_270\images\mittel_NRV1_13_num_4.jpg,Middle_Motors\view_top\images\mittel_NRV1_13_num_5.jpg,Middle_Motors\view_bottom\images\mittel_NRV1_13_num_6.jpg,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,Middle
Middle_Motors\view_0\images\mittel_NRV2_2_num_1.jpg,Middle_Motors\view_90\images\mittel_NRV2_2_num_2.jpg,Middle_Motors\view_180\images\mittel_NRV2_2_num_3.jpg,Middle_Motors\view_270\images\mittel_NRV2_2_num_4.jpg,Middle_Motors\view_top\images\mittel_NRV2_2_num_5.jpg,Middle_Motors\view_bottom\images\mittel_NRV2_2_num_6.jpg,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,Middle
Middle_Motors\view_0\images\mittel_NRV2_3_num_1.jpg,Middle_Motors\view_90\images\mittel_NRV2_3_num_2.jpg,Middle_Motors\view_180\images\mittel_NRV2_3_num_3.jpg,Middle_Motors\view_270\images\mittel_NRV2_3_num_4.jpg,Middle_Motors\view_top\images\mittel_NRV2_3_num_5.jpg,Middle_Motors\view_bottom\images\mittel_NRV2_3_num_6.jpg,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,Middle
Middle_Motors\view_0\images\mittel_NRV2_4_num_1.jpg,Middle_Motors\view_90\images\mittel_NRV2_4_num_2.jpg,Middle_Motors\view_180\images\mittel_NRV2_4_num_3.jpg,Middle_Motors\view_270\images\mittel_NRV2_4_num_4.jpg,Middle_Motors\view_top\images\mittel_NRV2_4_num_5.jpg,Middle_Motors\view_bottom\images\mittel_NRV2_4_num_6.jpg,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,Middle
Middle_Motors\view_0\images\mittel_NRV2_5_num_1.jpg,Middle_Motors\view_90\images\mittel_NRV2_5_num_2.jpg,Middle_Motors\view_180\images\mittel_NRV2_5_num_3.jpg,Middle_Motors\view_270\images\mittel_NRV2_5_num_4.jpg,Middle_Motors\view_top\images\mittel_NRV2_5_num_5.jpg,Middle_Motors\view_bottom\images\mittel_NRV2_5_num_6.jpg,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,Middle
Middle_Motors\view_0\images\mittel_NRV2_6_num_1.jpg,Middle_Motors\view_90\images\mittel_NRV2_6_num_2.jpg,Middle_Motors\view_180\images\mittel_NRV2_6_num_3.jpg,Middle_Motors\view_270\images\mittel_NRV2_6_num_4.jpg,Middle_Motors\view_top\images\mittel_NRV2_6_num_5.jpg,Middle_Motors\view_bottom\images\mittel_NRV2_6_num_6.jpg,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,Middle
Middle_Motors\view_0\images\mittel_NRV2_7_num_1.jpg,Middle_Motors\view_90\images\mittel_NRV2_7_num_2.jpg,Middle_Motors\view_180\images\mittel_NRV2_7_num_3.jpg,Middle_Motors\view_270\images\mittel_NRV2_7_num_4.jpg,Middle_Motors\view_top\images\mittel_NRV2_7_num_5.jpg,Middle_Motors\view_bottom\images\mittel_NRV2_7_num_6.jpg,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,Middle
Middle_Motors\view_0\images\mittel_NRV2_8_num_1.jpg,Middle_Motors\view_90\images\mittel_NRV2_8_num_2.jpg,Middle_Motors\view_180\images\mittel_NRV2_8_num_3.jpg,Middle_Motors\view_270\images\mittel_NRV2_8_num_4.jpg,Middle_Motors\view_top\images\mittel_NRV2_8_num_5.jpg,Middle_Motors\view_bottom\images\mittel_NRV2_8_num_6.jpg,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,Middle
Middle_Motors\view_0\images\mittel_NRV2_9_num_1.jpg,Middle_Motors\view_90\images\mittel_NRV2_9_num_2.jpg,Middle_Motors\view_180\images\mittel_NRV2_9_num_3.jpg,Middle_Motors\view_270\images\mittel_NRV2_9_num_4.jpg,Middle_Motors\view_top\images\mittel_NRV2_9_num_5.jpg,Middle_Motors\view_bottom\images\mittel_NRV2_9_num_6.jpg,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,Middle
Middle_Motors\view_0\images\mittel_NRV2_10_num_1.jpg,Middle_Motors\view_90\images\mittel_NRV2_10_num_2.jpg,Middle_Motors\view_180\images\mittel_NRV2_10_num_3.jpg,Middle_Motors\view_270\images\mittel_NRV2_10_num_4.jpg,Middle_Motors\view_top\images\mittel_NRV2_10_num_5.jpg,Middle_Motors\view_bottom\images\mittel_NRV2_10_num_6.jpg,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,Middle
Middle_Motors\view_0\images\mittel_NRV2_11_num_1.jpg,Middle_Motors\view_90\images\mittel_NRV2_11_num_2.jpg,Middle_Motors\view_180\images\mittel_NRV2_11_num_3.jpg,Middle_Motors\view_270\images\mittel_NRV2_11_num_4.jpg,Middle_Motors\view_top\images\mittel_NRV2_11_num_5.jpg,Middle_Motors\view_bottom\images\mittel_NRV2_11_num_6.jpg,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,Middle
Middle_Motors\view_0\images\mittel_NRV2_12_num_1.jpg,Middle_Motors\view_90\images\mittel_NRV2_12_num_2.jpg,Middle_Motors\view_180\images\mittel_NRV2_12_num_3.jpg,Middle_Motors\view_270\images\mittel_NRV2_12_num_4.jpg,Middle_Motors\view_top\images\mittel_NRV2_12_num_5.jpg,Middle_Motors\view_bottom\images\mittel_NRV2_12_num_6.jpg,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,Middle
Middle_Motors\view_0\images\mittel_NRV2_13_num_1.jpg,Middle_Motors\view_90\images\mittel_NRV2_13_num_2.jpg,Middle_Motors\view_180\images\mittel_NRV2_13_num_3.jpg,Middle_Motors\view_270\images\mittel_NRV2_13_num_4.jpg,Middle_Motors\view_top\images\mittel_NRV2_13_num_5.jpg,Middle_Motors\view_bottom\images\mittel_NRV2_13_num_6.jpg,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,Middle
Middle_Motors\view_0\images\mittel_NRV3_1_num_1.jpg,Middle_Motors\view_90\images\mittel_NRV3_1_num_2.jpg,Middle_Motors\view_180\images\mittel_NRV3_1_num_3.jpg,Middle_Motors\view_270\images\mittel_NRV3_1_num_4.jpg,Middle_Motors\view_top\images\mittel_NRV3_1_num_5.jpg,Middle_Motors\view_bottom\images\mittel_NRV3_1_num_6.jpg,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,Middle
Middle_Motors\view_0\images\mittel_NRV3_2_num_1.jpg,Middle_Motors\view_90\images\mittel_NRV3_2_num_2.jpg,Middle_Motors\view_180\images\mittel_NRV3_2_num_3.jpg,Middle_Motors\view_270\images\mittel_NRV3_2_num_4.jpg,Middle_Motors\view_top\images\mittel_NRV3_2_num_5.jpg,Middle_Motors\view_bottom\images\mittel_NRV3_2_num_6.jpg,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,Middle
Middle_Motors\view_0\images\mittel_NRV3_3_num_1.jpg,Middle_Motors\view_90\images\mittel_NRV3_3_num_2.jpg,Middle_Motors\view_180\images\mittel_NRV3_3_num_3.jpg,Middle_Motors\view_270\images\mittel_NRV3_3_num_4.jpg,Middle_Motors\view_top\images\mittel_NRV3_3_num_5.jpg,Middle_Motors\view_bottom\images\mittel_NRV3_3_num_6.jpg,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,Middle
Middle_Motors\view_0\images\mittel_NRV3_4_num_1.jpg,Middle_Motors\view_90\images\mittel_NRV3_4_num_2.jpg,Middle_Motors\view_180\images\mittel_NRV3_4_num_3.jpg,Middle_Motors\view_270\images\mittel_NRV3_4_num_4.jpg,Middle_Motors\view_top\images\mittel_NRV3_4_num_5.jpg,Middle_Motors\view_bottom\images\mittel_NRV3_4_num_6.jpg,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,Middle
Middle_Motors\view_0\images\mittel_NRV3_5_num_1.jpg,Middle_Motors\view_90\images\mittel_NRV3_5_num_2.jpg,Middle_Motors\view_180\images\mittel_NRV3_5_num_3.jpg,Middle_Motors\view_270\images\mittel_NRV3_5_num_4.jpg,Middle_Motors\view_top\images\mittel_NRV3_5_num_5.jpg,Middle_Motors\view_bottom\images\mittel_NRV3_5_num_6.jpg,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,Middle
Middle_Motors\view_0\images\mittel_NRV3_6_num_1.jpg,Middle_Motors\view_90\images\mittel_NRV3_6_num_2.jpg,Middle_Motors\view_180\images\mittel_NRV3_6_num_3.jpg,Middle_Motors\view_270\images\mittel_NRV3_6_num_4.jpg,Middle_Motors\view_top\images\mittel_NRV3_6_num_5.jpg,Middle_Motors\view_bottom\images\mittel_NRV3_6_num_6.jpg,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,Middle
Middle_Motors\view_0\images\mittel_NRV3_7_num_1.jpg,Middle_Motors\view_90\images\mittel_NRV3_7_num_2.jpg,Middle_Motors\view_180\images\mittel_NRV3_7_num_3.jpg,Middle_Motors\view_270\images\mittel_NRV3_7_num_4.jpg,Middle_Motors\view_top\images\mittel_NRV3_7_num_5.jpg,Middle_Motors\view_bottom\images\mittel_NRV3_7_num_6.jpg,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,Middle
Middle_Motors\view_0\images\mittel_NRV3_8_num_1.jpg,Middle_Motors\view_90\images\mittel_NRV3_8_num_2.jpg,Middle_Motors\view_180\images\mittel_NRV3_8_num_3.jpg,Middle_Motors\view_270\images\mittel_NRV3_8_num_4.jpg,Middle_Motors\view_top\images\mittel_NRV3_8_num_5.jpg,Middle_Motors\view_bottom\images\mittel_NRV3_8_num_6.jpg,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,Middle
Middle_Motors\view_0\images\mittel_NRV3_9_num_1.jpg,Middle_Motors\view_90\images\mittel_NRV3_9_num_2.jpg,Middle_Motors\view_180\images\mittel_NRV3_9_num_3.jpg,Middle_Motors\view_270\images\mittel_NRV3_9_num_4.jpg,Middle_Motors\view_top\images\mittel_NRV3_9_num_5.jpg,Middle_Motors\view_bottom\images\mittel_NRV3_9_num_6.jpg,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,Middle
Middle_Motors\view_0\images\mittel_NRV3_10_num_1.jpg,Middle_Motors\view_90\images\mittel_NRV3_10_num_2.jpg,Middle_Motors\view_180\images\mittel_NRV3_10_num_3.jpg,Middle_Motors\view_270\images\mittel_NRV3_10_num_4.jpg,Middle_Motors\view_top\images\mittel_NRV3_10_num_5.jpg,Middle_Motors\view_bottom\images\mittel_NRV3_10_num_6.jpg,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,Middle
Middle_Motors\view_0\images\mittel_NRV3_11_num_1.jpg,Middle_Motors\view_90\images\mittel_NRV3_11_num_2.jpg,Middle_Motors\view_180\images\mittel_NRV3_11_num_3.jpg,Middle_Motors\view_270\images\mittel_NRV3_11_num_4.jpg,Middle_Motors\view_top\images\mittel_NRV3_11_num_5.jpg,Middle_Motors\view_bottom\images\mittel_NRV3_11_num_6.jpg,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,Middle
Middle_Motors\view_0\images\mittel_NRV3_12_num_1.jpg,Middle_Motors\view_90\images\mittel_NRV3_12_num_2.jpg,Middle_Motors\view_180\images\mittel_NRV3_12_num_3.jpg,Middle_Motors\view_270\images\mittel_NRV3_12_num_4.jpg,Middle_Motors\view_top\images\mittel_NRV3_12_num_5.jpg,Middle_Motors\view_bottom\images\mittel_NRV3_12_num_6.jpg,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,Middle
Middle_Motors\view_0\images\mittel_NRV3_13_num_1.jpg,Middle_Motors\view_90\images\mittel_NRV3_13_num_2.jpg,Middle_Motors\view_180\images\mittel_NRV3_13_num_3.jpg,Middle_Motors\view_270\images\mittel_NRV3_13_num_4.jpg,Middle_Motors\view_top\images\mittel_NRV3_13_num_5.jpg,Middle_Motors\view_bottom\images\mittel_NRV3_13_num_6.jpg,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,Middle
Middle_Motors\view_0\images\mittel_NRV4_1_num_1.jpg,Middle_Motors\view_90\images\mittel_NRV4_1_num_2.jpg,Middle_Motors\view_180\images\mittel_NRV4_1_num_3.jpg,Middle_Motors\view_270\images\mittel_NRV4_1_num_4.jpg,Middle_Motors\view_top\images\mittel_NRV4_1_num_5.jpg,Middle_Motors\view_bottom\images\mittel_NRV4_1_num_6.jpg,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,Middle
Middle_Motors\view_0\images\mittel_NRV4_2_num_1.jpg,Middle_Motors\view_90\images\mittel_NRV4_2_num_2.jpg,Middle_Motors\view_180\images\mittel_NRV4_2_num_3.jpg,Middle_Motors\view_270\images\mittel_NRV4_2_num_4.jpg,Middle_Motors\view_top\images\mittel_NRV4_2_num_5.jpg,Middle_Motors\view_bottom\images\mittel_NRV4_2_num_6.jpg,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,Middle
Middle_Motors\view_0\images\mittel_NRV4_3_num_1.jpg,Middle_Motors\view_90\images\mittel_NRV4_3_num_2.jpg,Middle_Motors\view_180\images\mittel_NRV4_3_num_3.jpg,Middle_Motors\view_270\images\mittel_NRV4_3_num_4.jpg,Middle_Motors\view_top\images\mittel_NRV4_3_num_5.jpg,Middle_Motors\view_bottom\images\mittel_NRV4_3_num_6.jpg,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,Middle
Middle_Motors\view_0\images\mittel_NRV4_4_num_1.jpg,Middle_Motors\view_90\images\mittel_NRV4_4_num_2.jpg,Middle_Motors\view_180\images\mittel_NRV4_4_num_3.jpg,Middle_Motors\view_270\images\mittel_NRV4_4_num_4.jpg,Middle_Motors\view_top\images\mittel_NRV4_4_num_5.jpg,Middle_Motors\view_bottom\images\mittel_NRV4_4_num_6.jpg,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,Middle
Middle_Motors\view_0\images\mittel_NRV4_5_num_1.jpg,Middle_Motors\view_90\images\mittel_NRV4_5_num_2.jpg,Middle_Motors\view_180\images\mittel_NRV4_5_num_3.jpg,Middle_Motors\view_270\images\mittel_NRV4_5_num_4.jpg,Middle_Motors\view_top\images\mittel_NRV4_5_num_5.jpg,Middle_Motors\view_bottom\images\mittel_NRV4_5_num_6.jpg,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,Middle
Middle_Motors\view_0\images\mittel_NRV4_6_num_1.jpg,Middle_Motors\view_90\images\mittel_NRV4_6_num_2.jpg,Middle_Motors\view_180\images\mittel_NRV4_6_num_3.jpg,Middle_Motors\view_270\images\mittel_NRV4_6_num_4.jpg,Middle_Motors\view_top\images\mittel_NRV4_6_num_5.jpg,Middle_Motors\view_bottom\images\mittel_NRV4_6_num_6.jpg,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,Middle
Middle_Motors\view_0\images\mittel_NRV4_7_num_1.jpg,Middle_Motors\view_90\images\mittel_NRV4_7_num_2.jpg,Middle_Motors\view_180\images\mittel_NRV4_7_num_3.jpg,Middle_Motors\view_270\images\mittel_NRV4_7_num_4.jpg,Middle_Motors\view_top\images\mittel_NRV4_7_num_5.jpg,Middle_Motors\view_bottom\images\mittel_NRV4_7_num_6.jpg,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,Middle
Middle_Motors\view_0\images\mittel_NRV4_8_num_1.jpg,Middle_Motors\view_90\images\mittel_NRV4_8_num_2.jpg,Middle_Motors\view_180\images\mittel_NRV4_8_num_3.jpg,Middle_Motors\view_270\images\mittel_NRV4_8_num_4.jpg,Middle_Motors\view_top\images\mittel_NRV4_8_num_5.jpg,Middle_Motors\view_bottom\images\mittel_NRV4_8_num_6.jpg,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,Middle
Middle_Motors\view_0\images\mittel_NRV4_9_num_1.jpg,Middle_Motors\view_90\images\mittel_NRV4_9_num_2.jpg,Middle_Motors\view_180\images\mittel_NRV4_9_num_3.jpg,Middle_Motors\view_270\images\mittel_NRV4_9_num_4.jpg,Middle_Motors\view_top\images\mittel_NRV4_9_num_5.jpg,Middle_Motors\view_bottom\images\mittel_NRV4_9_num_6.jpg,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,Middle
Middle_Motors\view_0\images\mittel_NRV4_10_num_1.jpg,Middle_Motors\view_90\images\mittel_NRV4_10_num_2.jpg,Middle_Motors\view_180\images\mittel_NRV4_10_num_3.jpg,Middle_Motors\view_270\images\mittel_NRV4_10_num_4.jpg,Middle_Motors\view_top\images\mittel_NRV4_10_num_5.jpg,Middle_Motors\view_bottom\images\mittel_NRV4_10_num_6.jpg,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,Middle
Middle_Motors\view_0\images\mittel_NRV4_11_num_1.jpg,Middle_Motors\view_90\images\mittel_NRV4_11_num_2.jpg,Middle_Motors\view_180\images\mittel_NRV4_11_num_3.jpg,Middle_Motors\view_270\images\mittel_NRV4_11_num_4.jpg,Middle_Motors\view_top\images\mittel_NRV4_11_num_5.jpg,Middle_Motors\view_bottom\images\mittel_NRV4_11_num_6.jpg,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,Middle
Middle_Motors\view_0\images\mittel_NRV4_12_num_1.jpg,Middle_Motors\view_90\images\mittel_NRV4_12_num_2.jpg,Middle_Motors\view_180\images\mittel_NRV4_12_num_3.jpg,Middle_Motors\view_270\images\mittel_NRV4_12_num_4.jpg,Middle_Motors\view_top\images\mittel_NRV4_12_num_5.jpg,Middle_Motors\view_bottom\images\mittel_NRV4_12_num_6.jpg,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,Middle
Middle_Motors\view_0\images\mittel_NRV4_13_num_1.jpg,Middle_Motors\view_90\images\mittel_NRV4_13_num_2.jpg,Middle_Motors\view_180\images\mittel_NRV4_13_num_3.jpg,Middle_Motors\view_270\images\mittel_NRV4_13_num_4.jpg,Middle_Motors\view_top\images\mittel_NRV4_13_num_5.jpg,Middle_Motors\view_bottom\images\mittel_NRV4_13_num_6.jpg,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,Middle
Middle_Motors\view_0\images\mittel_FS1_1_num_1.jpg,Middle_Motors\view_90\images\mittel_FS1_1_num_2.jpg,Middle_Motors\view_180\images\mittel_FS1_1_num_3.jpg,Middle_Motors\view_270\images\mittel_FS1_1_num_4.jpg,Middle_Motors\view_top\images\mittel_FS1_1_num_5.jpg,Middle_Motors\view_bottom\images\mittel_FS1_1_num_6.jpg,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Middle
Middle_Motors\view_0\images\mittel_FS1_2_num_1.jpg,Middle_Motors\view_90\images\mittel_FS1_2_num_2.jpg,Middle_Motors\view_180\images\mittel_FS1_2_num_3.jpg,Middle_Motors\view_270\images\mittel_FS1_2_num_4.jpg,Middle_Motors\view_top\images\mittel_FS1_2_num_5.jpg,Middle_Motors\view_bottom\images\mittel_FS1_2_num_6.jpg,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Middle
Middle_Motors\view_0\images\mittel_FS1_3_num_1.jpg,Middle_Motors\view_90\images\mittel_FS1_3_num_2.jpg,Middle_Motors\view_180\images\mittel_FS1_3_num_3.jpg,Middle_Motors\view_270\images\mittel_FS1_3_num_4.jpg,Middle_Motors\view_top\images\mittel_FS1_3_num_5.jpg,Middle_Motors\view_bottom\images\mittel_FS1_3_num_6.jpg,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Middle
Middle_Motors\view_0\images\mittel_FS1_4_num_1.jpg,Middle_Motors\view_90\images\mittel_FS1_4_num_2.jpg,Middle_Motors\view_180\images\mittel_FS1_4_num_3.jpg,Middle_Motors\view_270\images\mittel_FS1_4_num_4.jpg,Middle_Motors\view_top\images\mittel_FS1_4_num_5.jpg,Middle_Motors\view_bottom\images\mittel_FS1_4_num_6.jpg,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Middle
Middle_Motors\view_0\images\mittel_FS1_5_num_1.jpg,Middle_Motors\view_90\images\mittel_FS1_5_num_2.jpg,Middle_Motors\view_180\images\mittel_FS1_5_num_3.jpg,Middle_Motors\view_270\images\mittel_FS1_5_num_4.jpg,Middle_Motors\view_top\images\mittel_FS1_5_num_5.jpg,Middle_Motors\view_bottom\images\mittel_FS1_5_num_6.jpg,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Middle
Middle_Motors\view_0\images\mittel_FS1_6_num_1.jpg,Middle_Motors\view_90\images\mittel_FS1_6_num_2.jpg,Middle_Motors\view_180\images\mittel_FS1_6_num_3.jpg,Middle_Motors\view_270\images\mittel_FS1_6_num_4.jpg,Middle_Motors\view_top\images\mittel_FS1_6_num_5.jpg,Middle_Motors\view_bottom\images\mittel_FS1_6_num_6.jpg,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Middle
Middle_Motors\view_0\images\mittel_FS1_7_num_1.jpg,Middle_Motors\view_90\images\mittel_FS1_7_num_2.jpg,Middle_Motors\view_180\images\mittel_FS1_7_num_3.jpg,Middle_Motors\view_270\images\mittel_FS1_7_num_4.jpg,Middle_Motors\view_top\images\mittel_FS1_7_num_5.jpg,Middle_Motors\view_bottom\images\mittel_FS1_7_num_6.jpg,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Middle
Middle_Motors\view_0\images\mittel_FS1_8_num_1.jpg,Middle_Motors\view_90\images\mittel_FS1_8_num_2.jpg,Middle_Motors\view_180\images\mittel_FS1_8_num_3.jpg,Middle_Motors\view_270\images\mittel_FS1_8_num_4.jpg,Middle_Motors\view_top\images\mittel_FS1_8_num_5.jpg,Middle_Motors\view_bottom\images\mittel_FS1_8_num_6.jpg,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Middle
Middle_Motors\view_0\images\mittel_FS1_9_num_1.jpg,Middle_Motors\view_90\images\mittel_FS1_9_num_2.jpg,Middle_Motors\view_180\images\mittel_FS1_9_num_3.jpg,Middle_Motors\view_270\images\mittel_FS1_9_num_4.jpg,Middle_Motors\view_top\images\mittel_FS1_9_num_5.jpg,Middle_Motors\view_bottom\images\mittel_FS1_9_num_6.jpg,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Middle
Middle_Motors\view_0\images\mittel_FS1_10_num_1.jpg,Middle_Motors\view_90\images\mittel_FS1_10_num_2.jpg,Middle_Motors\view_180\images\mittel_FS1_10_num_3.jpg,Middle_Motors\view_270\images\mittel_FS1_10_num_4.jpg,Middle_Motors\view_top\images\mittel_FS1_10_num_5.jpg,Middle_Motors\view_bottom\images\mittel_FS1_10_num_6.jpg,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Middle
Middle_Motors\view_0\images\mittel_FS1_11_num_1.jpg,Middle_Motors\view_90\images\mittel_FS1_11_num_2.jpg,Middle_Motors\view_180\images\mittel_FS1_11_num_3.jpg,Middle_Motors\view_270\images\mittel_FS1_11_num_4.jpg,Middle_Motors\view_top\images\mittel_FS1_11_num_5.jpg,Middle_Motors\view_bottom\images\mittel_FS1_11_num_6.jpg,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Middle
Middle_Motors\view_0\images\mittel_FS1_12_num_1.jpg,Middle_Motors\view_90\images\mittel_FS1_12_num_2.jpg,Middle_Motors\view_180\images\mittel_FS1_12_num_3.jpg,Middle_Motors\view_270\images\mittel_FS1_12_num_4.jpg,Middle_Motors\view_top\images\mittel_FS1_12_num_5.jpg,Middle_Motors\view_bottom\images\mittel_FS1_12_num_6.jpg,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Middle
Middle_Motors\view_0\images\mittel_FS1_13_num_1.jpg,Middle_Motors\view_90\images\mittel_FS1_13_num_2.jpg,Middle_Motors\view_180\images\mittel_FS1_13_num_3.jpg,Middle_Motors\view_270\images\mittel_FS1_13_num_4.jpg,Middle_Motors\view_top\images\mittel_FS1_13_num_5.jpg,Middle_Motors\view_bottom\images\mittel_FS1_13_num_6.jpg,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Middle
